courses
Estruturas da informação (CK0029)
Informática Aplicada ao Ensino de Ciências (CK0176)
Introdução a Ciência da Computação (CK0032)
Fundamentos de Programação (CK0211)
Programação Computacional para Engenharia (CK0179)
Informática Aplicada ao Ensino de Ciências (CK0176)
Computação Aplicada ao Ensino de Química (CK0177)
Introdução a Ciência da Computação (CK0032)
Computação Aplicada (CK0178)
Informática Aplicada ao Ensino de Ciências (CK0176)
Introdução a Ciência da Computação (CK0032)
Programação Computacional para Engenharia (CK0179)
Informática Aplicada ao Ensino de Ciências (CK0176)
Introdução a Ciência da Computação (CK0032)
Programação Computacional para Engenharia (CK0179)
Fundamentos de Programação (CK0030)
Linguagens de Programação II (Orientado a Objetos)
Linguagens de Programação I 
Linguagens de Programação II (Orientado a Objetos)
Informações sobre algumas disciplinas:
